Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,731,843.58 ","$1,731,843.58 ","$2,402,234.64 ","$3,631,284.92 ","$1,340,782.12 ","$558,659.22 ","$893,854.75 ","$1,229,050.28 ","($173,184.36)","$1,027,932.96 ","$916,201.12 ","$871,508.38 ",,"$893,854.75 ","$1,515.68 ","$89,591.41 ","$391,061.45 ","$1,843,575.42 ","$3,798,882.68 ","$3,854,748.60 ","$4,636,871.51 ","$2,960,893.85 ","$3,064,208.94 ","$4,069,796.09 ","$5,739,835.75 ","$5,787,158.10 ",,
Afghanistan,AFG,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,636,412.34 ","$76,642,039.99 ","$225,339,036.97 ","$71,699,645.23 ","$119,324,666.19 ","$166,416,610.21 ","$115,123,782.65 ","$115,710,097.90 ","$561,858,907.11 ","$668,771,148.24 ",
Angola,AGO,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,042,000.00 ","$162,358.50 ","$17,972,037.00 ","$204,751.10 ","$40,348,853.99 ","$36,637,411.34 ","$30,971,119.27 ","$11,114,711.60 ","$3,988,048.38 ","$1,418,195.84 ","$1,579,247.15 "
Albania,ALB,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000,000.00 ","$274,800,000.00 ","$264,700,000.00 ","$384,600,000.00 ","$499,600,000.00 ","$266,900,000.00 ","$452,270,000.00 ","$356,600,000.00 ","$530,800,000.00 ","$614,900,000.00 ","$643,430,000.00 ","$778,114,262.29 ","$1,028,347,573.03 ","$1,160,733,884.33 ","$1,175,553,649.77 ","$1,304,560,000.00 ","$1,595,885,295.46 ","$1,489,162,408.12 ","$1,355,423,159.82 ","$1,358,085,262.24 ","$1,268,025,848.84 ","$1,030,453,134.10 ","$1,089,414,808.87 ","$990,918,871.28 ","$996,001,354.46 ","$987,506,025.11 ","$1,093,985,822.91 "
Andorra,AND,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,700,000.00 ","$46,400,000.00 ","$40,400,000.00 ","$41,100,000.00 ","$41,400,000.00 ","$43,100,000.00 ","$29,200,000.00 ","$50,000,000.00 ","$155,500,000.00 ","$171,100,000.00 ","$235,900,000.00 ","$270,090,000.00 ","$381,400,000.00 ","$485,571,428.57 ","$541,077,142.86 ","$605,920,000.00 ","$529,292,000.00 ","$534,932,803.53 ","$555,126,810.59 ","$421,861,583.53 ","$357,028,235.29 ","$334,182,352.94 ","$278,640,032.94 ","$312,737,270.00 ","$357,490,805.86 ","$416,888,269.65 "
Armenia,ARM,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$210,000.00 ","$11,120,000.00 ","$18,350,000.00 ","$80,990,000.00 ","$101,586,400.00 ","$84,342,370.00 ","$102,926,052.00 ","$104,000,000.00 ","$125,020,000.00 ","$143,090,000.00 ","$182,990,000.00 ","$409,253,033.35 ","$460,054,121.49 ","$561,335,651.64 ","$755,823,295.69 ","$837,289,932.37 ","$602,211,942.31 ","$661,143,185.56 ","$790,034,907.05 ","$843,796,551.63 ","$963,883,900.02 ","$909,689,227.48 ","$649,112,349.84 ","$608,660,930.81 ","$680,515,591.35 ","$665,478,479.20 "
American Samoa,ASM,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
