Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.090707754,-10.51974761,-3.685029581,3.44605475,-1.369863014,4.198232323,0.84822781,-0.450585761,-0.211225106,1.330511037,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046,1.030660058
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.16613833,0.858712615,4.859219584,3.471981372,8.542147337,4.954590478,4.822625549,0.943575613,-2.58009724,-0.147207426,-2.133493257
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.49996956,3.349993901,3.706880684,2.545405394,1.417525992,1.001987926,1.770000297,2.230000179,3.349999688,3.836619656,4.004413234
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.724022237,1.629345471
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.819174968,0.428316836,4.77207865,3.629086449,6.656678452,3.166151438,2.455200528,3.307618148,3.247325157,0.999881845,2.096746772
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.398696682,5.064701529,2.988441821,0.790400388,1.423840361
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.514589602
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.900000002,-14.14998864,2.199999998,4.699999999,7.200000004,3.3,3.600000001,3.199999999,0.2,7.500000001,5.2
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.248049922,-2.619414484,-5.379746835,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.030133268,-12.10753619,-7.200024461,-2.079127047,3.506609222,-0.103864693,4.658127431,4.025736808,5.589740804,3.032606112,4.930650909
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.657943717,1.936905392,2.067520093,2.462724647,3.900900023,2.615722477,2.568707043,2.336075481,2.846754951,2.342582287,2.834948133
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.460425193,-3.764580483,1.837094592,2.922797636,0.680444374,0.025504101,0.661274653,1.142980101,2.039574983,2.55088076,2.729083099
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.59143729,9.369502784,4.78883271,-1.572997621,2.202939023,5.84267327,2.797289382,1.050750982,-3.064200035,-0.282011197,1.412873527
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.861712995,3.812746937,5.124163303,4.032602496,4.446708222,4.924195261,4.240651644,-3.900003086,-0.600020001,0.500009999,1.599976614
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.783158196,-2.253171548,2.744231083,1.79830622,0.234778701,0.200661828,1.254676984,1.739580448,1.452552224,1.734389656,1.437834676
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.889898637,2.32930121,2.110199297,2.962750351,4.816478241,7.189716312,6.351831941,2.095808383,3.96485991,5.837823305,6.858002271
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.29449815,2.962014371,5.373373126,6.626865192,6.452698755,5.792589317,4.326837357,3.894548057,5.934135105,6.302096059,6.50980304
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013610365,6.061059359,6.552652796,7.113489474,7.284184092,7.863708893
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.021883402,-3.586145625,1.324087801,1.914905853,0.030969869,0.493921421,1.837521148,3.471186041,3.936758149,3.811248158,3.081157234
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.245128341,2.539772469,4.334407088,1.983823256,3.732251521,5.416503715,4.34984233,2.861967825,3.470923702,3.803522262,1.777693753
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.323966973,-4.175260401,1.538777407,0.612897452,3.08668686,-0.410428618,-0.147988573,1.044959524,-1.689549856,1.437191339,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.4267266,-3.002752537,0.872151023,0.958953088,-0.821729266,2.351034014,1.148038011,3.088223761,3.145658092,3.163559487,3.066134848
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.19999944,0.19999531,7.798266823,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.5321835,3.04990555
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.228855669,0.670801477,3.383471706,2.162606822,2.937812628,0.851934628,3.692371465,3.431950484,-0.58802365,1.437288946,3.049643797
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,,,,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.148497195,3.357001259,4.126719369,5.204095947,5.122274661,6.796011706,5.460567154,4.857188015,4.263919504,4.195209367,4.223624932
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.094195447,-0.125811999,7.52822583,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.305454313,1.063861259,1.11757918
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.1232069,-3.972927837,0.265446224,0.657294139,0.281153637,0.009044044,0.018086453,0.904159132,2.007168459,1,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675,-0.566814609,-2.465514923,1.328751422,0.052346673
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.745455168,6.644564258,8.022101221,4.629101391,2.290648193
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.245437363,-7.652310203,8.563631748,6.048316367,4.456167213,11.34342425,4.149289893,-1.697965616,4.303773353,2.90753491,4.453559601
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.03742608,0.117267103,4.56280844,5.006285824,4.457283162,4.340609983
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.001059411,-2.949450662,3.082591592,3.141950887,1.753890418,2.319882289,2.858996461,0.674305601,1.100471479,2.985033351,1.878588928
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.890738595,-3.450058197,1.556048138,3.206921858,0.74300415,1.337720587,3.048592204,3.830079284,3.141229893,4.720690224,4.301360947
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.154701861,-2.222107121,3.002699108,1.692808495,1.006024097,1.852039757,2.449218097,1.333369086,1.601223556,1.616692155,2.540426713
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.529530553,-1.564239443,5.844177296,6.110918829,5.318628,4.045004298,1.766739784,2.303767036,1.670540173,1.279183341,4.024652965
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.654289373,9.399813171,10.63614046,9.55091409,7.859627493,7.768615284,7.299518921,6.90531667,6.736675253,6.757007611,6.6
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.542841476,3.251453719,2.017638592,-4.387254788,10.7065041,8.889421302,8.79407739,8.84285995,7.971751186,7.702089422,7.433071625
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.488800919,2.198664102,3.422507641,4.129277161,4.543265016,5.40426571,5.884059327,5.651463744,4.648481551,3.549087318,3.859896996
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288098,6.91618781,2.399379098,3.726947653,5.757932738
