,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ostersund,81,SE,1563578926,77,63.18,14.64,59.0,11.41
1,Cape Town,20,ZA,1563578654,70,-33.93,18.42,50.0,9.17
2,Butaritari,65,KI,1563578811,68,3.07,172.79,84.94,8.34
3,Nevsehir,0,TR,1563579118,72,38.62,34.71,61.0,4.68
4,Hermanus,29,ZA,1563578862,99,-34.42,19.24,48.99,16.93
5,Nhulunbuy,1,AU,1563579120,78,-12.18,136.78,75.2,9.17
6,Hovd,75,NO,1563579122,87,63.83,10.7,57.99,5.82
7,Longyearbyen,75,NO,1563578919,81,78.22,15.63,44.6,3.36
8,Mazara del Vallo,0,IT,1563579124,88,37.65,12.59,81.0,1.12
9,Buin,100,CL,1563579125,50,-33.73,-70.74,57.2,5.82
10,Vaini,100,IN,1563578824,91,15.34,74.49,76.84,0.94
11,Nemuro,100,JP,1563579000,96,43.32,145.57,57.94,9.31
12,Mataura,100,NZ,1563578879,97,-46.19,168.86,48.0,8.01
13,Bethel,90,US,1563579130,93,60.79,-161.76,57.2,12.75
14,Airai,0,TL,1563578896,53,-8.93,125.41,76.84,1.54
15,Mapiripan,10,CO,1563578596,92,2.89,-72.13,73.77,3.51
16,Dikson,16,RU,1563578877,79,73.51,80.55,40.65,19.98
17,Sabang,100,PH,1563579135,74,13.8,121.11,82.42,2.33
18,Punta Arenas,0,CL,1563578518,82,-53.16,-70.91,35.6,14.99
19,Modakeke,100,NG,1563579137,98,7.38,4.27,71.25,1.63
20,Ust-Kuyga,100,RU,1563579138,65,70.0,135.55,43.17,2.13
21,Sungai Besar,75,MY,1563579140,94,3.68,100.99,75.2,17.02
22,Victoria,75,BN,1563579003,94,5.28,115.24,80.6,8.3
23,Ushuaia,20,AR,1563578815,64,-54.81,-68.31,37.4,3.36
24,Zemio,70,CF,1563579143,93,5.02,25.13,67.84,0.78
25,Albany,75,US,1563578717,59,42.65,-73.75,89.6,4.7
26,Elizabethton,1,US,1563579146,62,36.35,-82.21,87.8,3.36
27,Tasiilaq,99,GL,1563578925,87,65.61,-37.64,44.6,8.05
28,Rikitea,80,PF,1563578830,59,-23.12,-134.97,66.57,13.49
29,Kapaa,40,US,1563578847,70,22.08,-159.32,86.0,17.22
30,Jamestown,0,AU,1563578822,43,-33.21,138.6,56.14,17.38
31,Ilulissat,75,GL,1563578867,76,69.22,-51.1,50.0,4.7
32,Klaksvik,73,FO,1563579040,100,62.23,-6.59,50.0,11.41
33,Tirumullaivasal,80,IN,1563579153,77,11.24,79.84,79.54,8.88
34,Lompoc,1,US,1563579031,64,34.64,-120.46,73.0,14.99
35,Rawson,50,AR,1563579156,40,-43.3,-65.11,43.9,27.58
36,Dubbo,0,AU,1563579157,81,-32.25,148.6,42.8,6.93
37,Lagoa,0,PT,1563579158,57,37.14,-8.45,77.0,5.82
38,Darhan,88,MN,1563579159,80,49.49,105.92,64.42,1.36
39,Bluff,0,AU,1563578817,53,-23.58,149.07,63.15,13.06
40,Wesselsbron,0,ZA,1563579162,70,-27.85,26.36,33.01,8.55
41,Ponta do Sol,5,BR,1563579075,65,-20.63,-46.0,55.24,4.94
42,Codrington,0,AU,1563579164,76,-28.95,153.24,59.0,8.05
43,Naze,100,NG,1563579165,97,5.43,7.07,71.97,3.04
44,Severo-Kurilsk,100,RU,1563578966,98,50.68,156.12,47.14,2.77
45,Hasaki,75,JP,1563579087,78,35.73,140.83,82.0,9.17
46,Forestville,75,CA,1563579169,88,48.74,-69.09,64.4,4.7
47,Xining,0,CN,1563579170,66,36.62,101.77,52.72,1.03
48,Bambous Virieux,40,MU,1563579071,88,-20.34,57.76,70.0,11.41
49,Chandler,1,US,1563579172,13,33.31,-111.84,108.0,13.87
50,Clyde River,40,CA,1563579173,87,70.47,-68.59,46.4,3.36
51,Saskylakh,96,RU,1563578944,40,71.97,114.09,64.6,14.9
52,Abu Kamal,0,SY,1563579176,46,34.45,40.92,76.47,18.81
53,San Cristobal,46,HN,1563579177,74,14.68,-86.92,72.7,9.04
54,Rozkishne,10,UA,1563579178,80,48.5,37.59,60.27,3.31
55,Busselton,17,AU,1563578849,98,-33.64,115.35,43.0,26.13
56,Arraial do Cabo,40,BR,1563579088,68,-22.97,-42.02,66.2,6.93
57,Jalu,0,LY,1563579181,46,29.03,21.55,77.92,12.03
58,Bilibino,99,RU,1563579183,51,68.06,166.44,46.95,4.92
59,Nhamunda,51,BR,1563579184,79,-2.19,-56.71,76.3,1.99
60,Shubarshi,0,KZ,1563579185,62,48.59,57.19,76.12,16.62
61,Thompson,75,CA,1563578637,67,55.74,-97.86,60.8,18.34
62,Provideniya,87,RU,1563579017,70,64.42,-173.23,57.94,10.18
63,Gaoual,42,GN,1563579189,91,11.75,-13.2,74.67,6.53
64,Yellowknife,75,CA,1563578922,42,62.45,-114.38,68.0,9.17
65,Rio Grande,8,BR,1563579191,89,-32.03,-52.1,60.01,4.65
66,Port Lincoln,0,AU,1563578843,55,-34.72,135.86,60.45,29.8
67,Castro,20,CL,1563579019,86,-42.48,-73.76,41.0,8.05
68,Sorong,82,ID,1563579013,84,-0.86,131.25,78.64,6.96
69,Saldanha,0,PT,1563578976,62,41.42,-6.55,68.02,4.94
70,Leshukonskoye,77,RU,1563579196,88,64.9,45.76,48.22,6.02
71,Hithadhoo,93,MV,1563578819,76,-0.6,73.08,83.14,18.25
72,Sola,68,TZ,1563579199,54,-3.17,33.8,67.84,4.12
73,Namatanai,61,PG,1563578647,81,-3.66,152.44,80.62,14.81
74,Kuching,75,MY,1563579201,94,1.56,110.34,78.8,1.01
75,New Norfolk,75,AU,1563578868,75,-42.78,147.06,44.6,9.17
76,Atuona,100,PF,1563578987,67,-9.8,-139.03,80.44,9.1
77,La Ronge,20,CA,1563578963,60,55.1,-105.3,71.6,14.99
78,Suntar,0,RU,1563579206,54,62.16,117.65,58.47,5.86
79,Avarua,13,CK,1563578807,88,-21.21,-159.78,75.2,4.7
80,Qaanaaq,100,GL,1563578823,95,77.48,-69.36,39.04,6.64
81,Mareeba,0,AU,1563578668,67,-16.99,145.42,68.0,12.75
82,Ulaangom,50,MN,1563579210,57,49.98,92.07,65.14,8.08
83,Solnechnyy,98,RU,1563579033,79,50.72,136.64,74.5,3.09
